"Código IBGE","Estado","Município","URL","População estimada","População no último censo","Densidade demográfica","Salário médio mensal dos trabalhadores formais","Pessoal ocupado","População ocupada","Percentual da população com rendimento nominal mensal per capita de até 1/2 salário mínimo","Taxa de escolarização de 6 a 14 anos de idade","IDEB – Anos iniciais do ensino fundamental (Rede pública)","IDEB – Anos finais do ensino fundamental (Rede pública)","Matrículas no ensino fundamental","Matrículas no ensino médio","Docentes no ensino fundamental","Docentes no ensino médio","Número de estabelecimentos de ensino fundamental","Número de estabelecimentos de ensino médio","PIB per capita","Percentual das receitas oriundas de fontes externas","Índice de Desenvolvimento Humano Municipal (IDHM)","Total de receitas realizadas","Total de despesas empenhadas","Mortalidade Infantil","Internações por diarreia","Estabelecimentos de Saúde SUS","Área da unidade territorial","Esgotamento sanitário adequado","Arborização de vias públicas","Urbanização de vias públicas","Bioma","Sistema Costeiro-Marinho","Hierarquia urbana","Região de Influência","Região intermediária","Região imediata","Mesorregião","Microrregião"
"2915700","BA","Itamari","https://cidades.ibge.gov.br/brasil/ba/itamari/panorama","7.971 pessoas","7.903 pessoas","71,14 hab/km²","2,2 salários mínimos","476 pessoas","5,9 %","44,7 %","95,9 %","4,4","-","1.136 matrículas","249 matrículas","94 docentes","9 docentes","10 escolas","1 escolas","8.712,36 R$","98,2 %","0,578","20.805,45 R$ (×1000)","21.156,53 R$ (×1000)","10,64 óbitos por mil nascidos vivos","10,4 internações por mil habitantes","6 estabelecimentos","143,479 km²","41,6 %","58,7 %","14 %","Mata Atlântica","Não pertence","Centro Local (5)","Gandu - Centro de Zona B (4B)","Vitória da Conquista","Ipiaú","Sul Baiano","Ilhéus-Itabuna"
"2918506","BA","Jussara","https://cidades.ibge.gov.br/brasil/ba/jussara/panorama","15.241 pessoas","15.052 pessoas","15,87 hab/km²","1,9 salários mínimos","728 pessoas","4,8 %","53,7 %","97,2 %","5,0","-","2.287 matrículas","612 matrículas","150 docentes","17 docentes","30 escolas","1 escolas","6.839,15 R$","96 %","0,571","35.176,23 R$ (×1000)","32.303,48 R$ (×1000)","9,8 óbitos por mil nascidos vivos","6,2 internações por mil habitantes","5 estabelecimentos","1.355,173 km²","2,9 %","88,5 %","1,5 %","Caatinga","Não pertence","Centro Local (5)","Irecê - Centro Subregional A (3A)","Irecê","Irecê","Centro Norte Baiano","Irecê"
"2912004","BA","Ibiassucê","https://cidades.ibge.gov.br/brasil/ba/ibiassuce/panorama","8.849 pessoas","10.062 pessoas","23,58 hab/km²","1,5 salários mínimos","927 pessoas","10,0 %","48,7 %","98,5 %","6,1","4,7","1.174 matrículas","335 matrículas","88 docentes","16 docentes","9 escolas","1 escolas","8.707,34 R$","- %","0,611","23.959,66 R$ (×1000)","23.285,90 R$ (×1000)","24,69 óbitos por mil nascidos vivos","3,5 internações por mil habitantes","7 estabelecimentos","483,274 km²","2,3 %","94,3 %","0,5 %","Caatinga","Não pertence","Centro Local (5)","Caculé - Centro de Zona B (4B)\; Caetité - Centro de Zona A (4A)","Guanambi","Guanambi","Centro Sul Baiano","Guanambi"
"2933604","BA","Xique-Xique","https://cidades.ibge.gov.br/brasil/ba/xique-xique/panorama","46.562 pessoas","45.536 pessoas","8,28 hab/km²","1,9 salários mínimos","2.914 pessoas","6,3 %","52,8 %","96,9 %","4,7","3,8","7.652 matrículas","2.601 matrículas","471 docentes","149 docentes","120 escolas","8 escolas","8.442,06 R$","90,8 %","0,585","103.379,33 R$ (×1000)","102.019,40 R$ (×1000)","10,34 óbitos por mil nascidos vivos","10,3 internações por mil habitantes","13 estabelecimentos","5.079,662 km²","36,9 %","88,7 %","2,7 %","Caatinga","Não pertence","Centro de Zona B (4B)","Irecê - Centro Subregional A (3A)","Irecê","Xique-Xique ¿ Barra","Vale São-Franciscano da Bahia","Barra"
"2932408","BA","Uibaí","https://cidades.ibge.gov.br/brasil/ba/uibai/panorama","13.894 pessoas","13.625 pessoas","24,73 hab/km²","1,8 salários mínimos","672 pessoas","4,8 %","55,7 %","97,7 %","4,5","4,4","1.692 matrículas","525 matrículas","129 docentes","26 docentes","16 escolas","2 escolas","6.406,49 R$","94,5 %","0,617","30.980,93 R$ (×1000)","28.076,47 R$ (×1000)","18,75 óbitos por mil nascidos vivos","1,2 internações por mil habitantes","9 estabelecimentos","545,298 km²","2,2 %","91,7 %","0 %","Caatinga","Não pertence","Centro Local (5)","Irecê - Centro Subregional A (3A)","Irecê","Irecê","Centro Norte Baiano","Irecê"
"2915403","BA","Itaju do Colônia","https://cidades.ibge.gov.br/brasil/ba/itaju-do-colonia/panorama","6.515 pessoas","7.309 pessoas","5,98 hab/km²","1,5 salários mínimos","687 pessoas","10,3 %","44,4 %","98,4 %","4,2","3,3","1.078 matrículas","171 matrículas","74 docentes","11 docentes","11 escolas","2 escolas","9.796,14 R$","93,8 %","0,592","19.736,50 R$ (×1000)","19.651,37 R$ (×1000)","20,41 óbitos por mil nascidos vivos","5,4 internações por mil habitantes","4 estabelecimentos","1.225,287 km²","67,6 %","55,5 %","17 %","Mata Atlântica","Não pertence","Centro Local (5)","Itabuna - Capital Regional B (2B)","Ilhéus ¿ Itabuna","Ilhéus ¿ Itabuna","Sul Baiano","Ilhéus-Itabuna"
"2914604","BA","Irecê","https://cidades.ibge.gov.br/brasil/ba/irece/panorama","74.050 pessoas","66.181 pessoas","207,45 hab/km²","1,8 salários mínimos","14.362 pessoas","19,7 %","43,8 %","96,4 %","5,9","4,9","10.873 matrículas","5.861 matrículas","533 docentes","266 docentes","46 escolas","12 escolas","16.746,40 R$","83 %","0,691","143.102,96 R$ (×1000)","131.057,76 R$ (×1000)","13,45 óbitos por mil nascidos vivos","0,4 internações por mil habitantes","15 estabelecimentos","319,174 km²","28,3 %","59,9 %","0,8 %","Caatinga","Não pertence","Centro Subregional A (3A)","Arranjo Populacional de Salvador/BA - Metrópole (1C)","Irecê","Irecê","Centro Norte Baiano","Irecê"
"2910750","BA","Fátima","https://cidades.ibge.gov.br/brasil/ba/fatima/panorama","17.801 pessoas","17.652 pessoas","49,12 hab/km²","2,2 salários mínimos","981 pessoas","5,5 %","55,9 %","98,4 %","5,2","3,8","2.289 matrículas","660 matrículas","179 docentes","27 docentes","10 escolas","2 escolas","9.681,70 R$","97 %","0,559","39.762,16 R$ (×1000)","42.834,29 R$ (×1000)","16,48 óbitos por mil nascidos vivos","0,3 internações por mil habitantes","11 estabelecimentos","364,419 km²","43,9 %","74,9 %","1,3 %","Caatinga","Não pertence","Centro Local (5)","Cícero Dantas - Centro de Zona A (4A)","Paulo Afonso","Cícero Dantas","Nordeste Baiano","Ribeira do Pombal"
"2913101","BA","Ibititá","https://cidades.ibge.gov.br/brasil/ba/ibitita/panorama","17.048 pessoas","17.840 pessoas","28,63 hab/km²","1,7 salários mínimos","795 pessoas","4,6 %","54,8 %","96,6 %","4,7","4,0","2.204 matrículas","680 matrículas","162 docentes","23 docentes","24 escolas","1 escolas","6.949,28 R$","94,5 %","0,602","38.870,19 R$ (×1000)","57.520,54 R$ (×1000)","20,51 óbitos por mil nascidos vivos","0,8 internações por mil habitantes","9 estabelecimentos","573,033 km²","1,5 %","79,3 %","0 %","Caatinga","Não pertence","Centro Local (5)","Irecê - Centro Subregional A (3A)","Irecê","Irecê","Centro Norte Baiano","Irecê"
"2909208","BA","Coronel João Sá","https://cidades.ibge.gov.br/brasil/ba/coronel-joao-sa/panorama","15.549 pessoas","17.066 pessoas","19,32 hab/km²","2,0 salários mínimos","1.157 pessoas","7,3 %","52,2 %","96 %","4,7","3,3","2.470 matrículas","738 matrículas","203 docentes","17 docentes","56 escolas","1 escolas","8.311,11 R$","91 %","0,535","39.769,26 R$ (×1000)","42.292,97 R$ (×1000)","14,08 óbitos por mil nascidos vivos","0,8 internações por mil habitantes","15 estabelecimentos","797,434 km²","29,5 %","81,9 %","5,2 %","Caatinga","Não pertence","Centro Local (5)","Arranjo Populacional de Aracaju/SE - Capital Regional A (2A)","Paulo Afonso","Jeremoabo","Nordeste Baiano","Jeremoabo"
"2928604","BA","Santo Amaro","https://cidades.ibge.gov.br/brasil/ba/santo-amaro/panorama","60.190 pessoas","57.800 pessoas","117,26 hab/km²","1,9 salários mínimos","5.797 pessoas","9,7 %","48,8 %","98,2 %","4,7","2,9","7.275 matrículas","2.515 matrículas","384 docentes","178 docentes","56 escolas","8 escolas","13.628,51 R$","90,9 %","0,646","114.539,48 R$ (×1000)","107.860,31 R$ (×1000)","9,9 óbitos por mil nascidos vivos","0,3 internações por mil habitantes","25 estabelecimentos","494,502 km²","59,1 %","34,9 %","19,4 %","Caatinga;Mata Atlântica","Pertence","Centro de Zona A (4A)","Arranjo Populacional de Salvador/BA - Metrópole (1C)","Salvador","Salvador","Metropolitana de Salvador","Santo Antônio de Jesus"
"2915908","BA","Itanagra","https://cidades.ibge.gov.br/brasil/ba/itanagra/panorama","6.433 pessoas","7.598 pessoas","15,49 hab/km²","1,9 salários mínimos","653 pessoas","10,1 %","50,1 %","98,1 %","5,5","3,3","1.023 matrículas","211 matrículas","63 docentes","12 docentes","10 escolas","1 escolas","10.298,85 R$","- %","0,584","10.462,76 R$ (×1000)","21.701,66 R$ (×1000)","- óbitos por mil nascidos vivos","0,1 internações por mil habitantes","2 estabelecimentos","533,634 km²","20,5 %","51,4 %","15,2 %","Mata Atlântica","Pertence","Centro Local (5)","Alagoinhas - Centro Subregional A (3A)","Salvador","Salvador","Metropolitana de Salvador","Catu"
"2901106","BA","Amélia Rodrigues","https://cidades.ibge.gov.br/brasil/ba/amelia-rodrigues/panorama","24.997 pessoas","25.190 pessoas","145,20 hab/km²","1,8 salários mínimos","3.016 pessoas","12,0 %","46,1 %","99,2 %","4,6","3,4","3.325 matrículas","691 matrículas","162 docentes","40 docentes","24 escolas","2 escolas","12.394,40 R$","82,9 %","0,666","64.865,98 R$ (×1000)","50.406,70 R$ (×1000)","40,61 óbitos por mil nascidos vivos","0,2 internações por mil habitantes","7 estabelecimentos","166,872 km²","10 %","38,4 %","12,4 %","Mata Atlântica","Não pertence","Centro Local (5)","Feira de Santana - Capital Regional B (2B)","Feira de Santana","Feira de Santana","Metropolitana de Salvador","Catu"
"2905909","BA","Campo Alegre de Lourdes","https://cidades.ibge.gov.br/brasil/ba/campo-alegre-de-lourdes/panorama","28.839 pessoas","28.090 pessoas","10,10 hab/km²","2,1 salários mínimos","1.627 pessoas","5,6 %","58,4 %","98,3 %","4,2","3,5","4.737 matrículas","513 matrículas","288 docentes","21 docentes","125 escolas","1 escolas","7.539,84 R$","95,3 %","0,557","57.159,89 R$ (×1000)","51.715,73 R$ (×1000)","18 óbitos por mil nascidos vivos","7,9 internações por mil habitantes","11 estabelecimentos","2.914,587 km²","5,6 %","27,4 %","0 %","Caatinga","Não pertence","Centro Local (5)","São Raimundo Nonato - Centro Subregional B (3B)\; Arranjo Populacional de Petrolina/PE - Juazeiro/BA - Capital Regional C (2C)","Juazeiro","Juazeiro","Vale São-Franciscano da Bahia","Juazeiro"
"2924306","BA","Piatã","https://cidades.ibge.gov.br/brasil/ba/piata/panorama","16.854 pessoas","17.982 pessoas","10,49 hab/km²","2,1 salários mínimos","986 pessoas","5,8 %","56,9 %","98,6 %","6,6","4,7","2.860 matrículas","770 matrículas","195 docentes","26 docentes","13 escolas","2 escolas","7.262,10 R$","93,2 %","0,571","43.894,82 R$ (×1000)","41.154,23 R$ (×1000)","16,95 óbitos por mil nascidos vivos","3,6 internações por mil habitantes","11 estabelecimentos","1.825,857 km²","4,7 %","50,3 %","3,9 %","Caatinga","Não pertence","Centro Local (5)","Seabra - Centro de Zona A (4A)","Feira de Santana","Seabra","Centro Sul Baiano","Seabra"
"2926400","BA","Riacho de Santana","https://cidades.ibge.gov.br/brasil/ba/riacho-de-santana/panorama","35.757 pessoas","30.646 pessoas","11,87 hab/km²","1,8 salários mínimos","2.523 pessoas","7,1 %","54,7 %","96,8 %","5,5","4,8","3.973 matrículas","1.159 matrículas","275 docentes","63 docentes","24 escolas","4 escolas","7.195,92 R$","89,3 %","0,615","65.513,57 R$ (×1000)","61.848,96 R$ (×1000)","11,3 óbitos por mil nascidos vivos","1 internações por mil habitantes","13 estabelecimentos","3.183,911 km²","5,3 %","90,7 %","1,3 %","Caatinga;Cerrado","Não pertence","Centro Local (5)","Guanambi - Centro Subregional A (3A)","Guanambi","Guanambi","Centro Sul Baiano","Guanambi"
"2906303","BA","Canavieiras","https://cidades.ibge.gov.br/brasil/ba/canavieiras/panorama","30.722 pessoas","32.336 pessoas","24,37 hab/km²","1,7 salários mínimos","2.919 pessoas","9,4 %","46 %","94,9 %","4,0","3,3","5.023 matrículas","822 matrículas","285 docentes","34 docentes","43 escolas","1 escolas","9.973,92 R$","94,3 %","0,590","60.662,19 R$ (×1000)","54.775,59 R$ (×1000)","10,05 óbitos por mil nascidos vivos","1,2 internações por mil habitantes","14 estabelecimentos","1.334,284 km²","55,3 %","84,3 %","43,7 %","Mata Atlântica","Pertence","Centro Local (5)","Ilhéus - Capital Regional C (2C)","Ilhéus ¿ Itabuna","Camacan","Sul Baiano","Ilhéus-Itabuna"
"2916401","BA","Itapetinga","https://cidades.ibge.gov.br/brasil/ba/itapetinga/panorama","77.408 pessoas","68.273 pessoas","41,95 hab/km²","1,6 salários mínimos","14.417 pessoas","18,9 %","34 %","96,8 %","4,7","3,4","9.826 matrículas","2.595 matrículas","421 docentes","161 docentes","48 escolas","8 escolas","14.271,87 R$","75,3 %","0,667","142.006,79 R$ (×1000)","135.529,32 R$ (×1000)","17,02 óbitos por mil nascidos vivos","2,3 internações por mil habitantes","20 estabelecimentos","1.651,158 km²","92,4 %","25,2 %","20,5 %","Mata Atlântica","Não pertence","Centro Subregional B (3B)","Vitória da Conquista - Capital Regional B (2B)","Vitória da Conquista","Itapetinga","Centro Sul Baiano","Itapetinga"
"2931103","BA","Tanquinho","https://cidades.ibge.gov.br/brasil/ba/tanquinho/panorama","7.936 pessoas","8.008 pessoas","36,43 hab/km²","1,7 salários mínimos","490 pessoas","6,2 %","48 %","96 %","4,0","2,9","1.109 matrículas","201 matrículas","53 docentes","19 docentes","8 escolas","1 escolas","6.797,37 R$","93,1 %","0,597","17.522,96 R$ (×1000)","15.218,88 R$ (×1000)","10,99 óbitos por mil nascidos vivos","0,4 internações por mil habitantes","3 estabelecimentos","243,839 km²","44,6 %","76,2 %","9,6 %","Caatinga;Mata Atlântica","Não pertence","Centro Local (5)","Feira de Santana - Capital Regional B (2B)","Feira de Santana","Feira de Santana","Centro Norte Baiano","Feira de Santana"
"2913408","BA","Igaporã","https://cidades.ibge.gov.br/brasil/ba/igapora/panorama","15.661 pessoas","15.205 pessoas","18,26 hab/km²","1,6 salários mínimos","1.194 pessoas","7,6 %","49,2 %","97,3 %","5,2","3,8","1.923 matrículas","480 matrículas","177 docentes","33 docentes","16 escolas","1 escolas","11.445,70 R$","71,9 %","0,614","39.684,72 R$ (×1000)","39.271,88 R$ (×1000)","11,3 óbitos por mil nascidos vivos","1,1 internações por mil habitantes","11 estabelecimentos","836,586 km²","19,3 %","92,4 %","7,5 %","Caatinga;Cerrado","Não pertence","Centro Local (5)","Guanambi - Centro Subregional A (3A)","Guanambi","Guanambi","Centro Sul Baiano","Guanambi"
"2903102","BA","Barra do Rocha","https://cidades.ibge.gov.br/brasil/ba/barra-do-rocha/panorama","5.515 pessoas","6.313 pessoas","30,30 hab/km²","1,8 salários mínimos","521 pessoas","9,1 %","47,2 %","95,7 %","4,6","3,5","766 matrículas","227 matrículas","40 docentes","11 docentes","7 escolas","1 escolas","10.851,20 R$","97,5 %","0,577","18.310,50 R$ (×1000)","15.009,68 R$ (×1000)","25,97 óbitos por mil nascidos vivos","2,1 internações por mil habitantes","4 estabelecimentos","214,411 km²","55,3 %","80,9 %","55 %","Mata Atlântica","Não pertence","Centro Local (5)","Ipiaú - Centro Subregional B (3B)","Vitória da Conquista","Ipiaú","Sul Baiano","Ilhéus-Itabuna"
"2902104","BA","Araci","https://cidades.ibge.gov.br/brasil/ba/araci/panorama","54.903 pessoas","51.651 pessoas","33,19 hab/km²","2,1 salários mínimos","3.236 pessoas","6,0 %","57,4 %","97,4 %","4,4","3,8","8.584 matrículas","1.564 matrículas","423 docentes","122 docentes","59 escolas","6 escolas","7.858,26 R$","95,4 %","0,534","104.996,09 R$ (×1000)","102.013,64 R$ (×1000)","17,49 óbitos por mil nascidos vivos","0,3 internações por mil habitantes","19 estabelecimentos","1.496,245 km²","32,1 %","58,8 %","1 %","Caatinga","Não pertence","Centro Local (5)","Feira de Santana - Capital Regional B (2B)","Feira de Santana","Serrinha","Nordeste Baiano","Serrinha"
"2916005","BA","Itanhém","https://cidades.ibge.gov.br/brasil/ba/itanhem/panorama","19.231 pessoas","20.216 pessoas","13,81 hab/km²","1,6 salários mínimos","1.387 pessoas","7,1 %","46,2 %","97,7 %","5,1","4,5","2.223 matrículas","632 matrículas","188 docentes","62 docentes","23 escolas","1 escolas","11.605,19 R$","95,1 %","0,637","42.552,13 R$ (×1000)","40.855,49 R$ (×1000)","- óbitos por mil nascidos vivos","10,3 internações por mil habitantes","15 estabelecimentos","1.394,174 km²","66,1 %","80,2 %","3,9 %","Mata Atlântica","Não pertence","Centro Local (5)","Teixeira de Freitas - Centro Subregional A (3A)","Ilhéus ¿ Itabuna","Teixeira de Freitas","Sul Baiano","Porto Seguro"
"2908705","BA","Condeúba","https://cidades.ibge.gov.br/brasil/ba/condeuba/panorama","17.113 pessoas","16.898 pessoas","13,14 hab/km²","1,5 salários mínimos","1.906 pessoas","11,1 %","49,9 %","98,1 %","6,2","5,1","2.202 matrículas","724 matrículas","165 docentes","24 docentes","31 escolas","1 escolas","8.596,77 R$","92,5 %","0,582","43.255,77 R$ (×1000)","37.540,92 R$ (×1000)","9,95 óbitos por mil nascidos vivos","0,2 internações por mil habitantes","11 estabelecimentos","1.348,039 km²","8,3 %","57,8 %","11,9 %","Caatinga;Cerrado","Não pertence","Centro Local (5)","Vitória da Conquista - Capital Regional B (2B)","Vitória da Conquista","Vitória da Conquista","Centro Sul Baiano","Brumado"
"2913309","BA","Ichu","https://cidades.ibge.gov.br/brasil/ba/ichu/panorama","6.232 pessoas","5.255 pessoas","41,16 hab/km²","1,6 salários mínimos","527 pessoas","8,5 %","47,8 %","98,4 %","4,9","4,0","854 matrículas","287 matrículas","51 docentes","17 docentes","7 escolas","1 escolas","6.963,23 R$","95,8 %","0,631","17.368,06 R$ (×1000)","16.590,97 R$ (×1000)","- óbitos por mil nascidos vivos","14,5 internações por mil habitantes","4 estabelecimentos","138,016 km²","1,2 %","66,5 %","0 %","Caatinga","Não pertence","Centro Local (5)","Serrinha - Centro Subregional B (3B)","Feira de Santana","Feira de Santana","Nordeste Baiano","Serrinha"
"2908804","BA","Contendas do Sincorá","https://cidades.ibge.gov.br/brasil/ba/contendas-do-sincora/panorama","4.025 pessoas","4.663 pessoas","4,46 hab/km²","1,7 salários mínimos","334 pessoas","8,2 %","50,2 %","99 %","5,1","3,8","712 matrículas","247 matrículas","40 docentes","8 docentes","8 escolas","1 escolas","9.024,30 R$","96,5 %","0,577","17.325,38 R$ (×1000)","15.835,87 R$ (×1000)","- óbitos por mil nascidos vivos","0,7 internações por mil habitantes","6 estabelecimentos","977,455 km²","10,9 %","83,1 %","3,5 %","Caatinga","Não pertence","Centro Local (5)","Vitória da Conquista - Capital Regional B (2B)","Vitória da Conquista","Vitória da Conquista","Centro Sul Baiano","Seabra"
"2900306","BA","Acajutiba","https://cidades.ibge.gov.br/brasil/ba/acajutiba/panorama","15.214 pessoas","14.653 pessoas","81,34 hab/km²","1,9 salários mínimos","875 pessoas","5,8 %","53 %","98 %","3,8","3,0","2.400 matrículas","610 matrículas","116 docentes","19 docentes","14 escolas","1 escolas","8.850,48 R$","96,7 %","0,582","32.322,40 R$ (×1000)","31.257,69 R$ (×1000)","34,09 óbitos por mil nascidos vivos","0,4 internações por mil habitantes","7 estabelecimentos","181,475 km²","8,1 %","57,2 %","9,1 %","Caatinga;Mata Atlântica","Não pertence","Centro Local (5)","Arranjo Populacional de Salvador/BA - Metrópole (1C)","Salvador","Alagoinhas","Nordeste Baiano","Alagoinhas"
"2926301","BA","Riachão do Jacuípe","https://cidades.ibge.gov.br/brasil/ba/riachao-do-jacuipe/panorama","33.498 pessoas","33.172 pessoas","27,87 hab/km²","1,8 salários mínimos","3.331 pessoas","10,0 %","49,2 %","98,3 %","4,8","3,6","4.156 matrículas","1.222 matrículas","224 docentes","103 docentes","39 escolas","7 escolas","10.660,01 R$","94,5 %","0,628","60.702,34 R$ (×1000)","56.972,89 R$ (×1000)","17,77 óbitos por mil nascidos vivos","1,1 internações por mil habitantes","15 estabelecimentos","1.155,418 km²","64,4 %","63,7 %","0,7 %","Caatinga;Mata Atlântica","Não pertence","Centro de Zona B (4B)","Feira de Santana - Capital Regional B (2B)","Feira de Santana","Feira de Santana","Nordeste Baiano","Serrinha"
